#,Name,Acceptance,Level,Frequency,Link
101,Symmetric Tree,50.80%,Easy,47.9519,https://leetcode.com/problems/symmetric-tree
226,Invert Binary Tree,70.50%,Easy,47.4983,https://leetcode.com/problems/invert-binary-tree
463,Island Perimeter,68.60%,Easy,42.1852,https://leetcode.com/problems/island-perimeter
733,Flood Fill,57.30%,Easy,41.5868,https://leetcode.com/problems/flood-fill
100,Same Tree,55.10%,Easy,29.1015,https://leetcode.com/problems/same-tree
617,Merge Two Binary Trees,77.30%,Easy,26.6414,https://leetcode.com/problems/merge-two-binary-trees
993,Cousins in Binary Tree,53.60%,Easy,26.6116,https://leetcode.com/problems/cousins-in-binary-tree
104,Maximum Depth of Binary Tree,70.70%,Easy,25.302,https://leetcode.com/problems/maximum-depth-of-binary-tree
1971,Find if Path Exists in Graph,49.80%,Easy,23.5651,https://leetcode.com/problems/find-if-path-exists-in-graph
404,Sum of Left Leaves,54.40%,Easy,23.3399,https://leetcode.com/problems/sum-of-left-leaves
637,Average of Levels in Binary Tree,67.90%,Easy,20.0474,https://leetcode.com/problems/average-of-levels-in-binary-tree
653,Two Sum IV - Input is a BST,58.40%,Easy,13.7823,https://leetcode.com/problems/two-sum-iv-input-is-a-bst
111,Minimum Depth of Binary Tree,41.80%,Easy,9.54312,https://leetcode.com/problems/minimum-depth-of-binary-tree
783,Minimum Distance Between BST Nodes,55.60%,Easy,8.44347,https://leetcode.com/problems/minimum-distance-between-bst-nodes
559,Maximum Depth of N-ary Tree,70.60%,Easy,7.36323,https://leetcode.com/problems/maximum-depth-of-n-ary-tree
965,Univalued Binary Tree,68.70%,Easy,3.44313,https://leetcode.com/problems/univalued-binary-tree
530,Minimum Absolute Difference in BST,55.90%,Easy,3.08513,https://leetcode.com/problems/minimum-absolute-difference-in-bst
1469,Find All The Lonely Nodes,81.60%,Easy,0.75572,https://leetcode.com/problems/find-all-the-lonely-nodes
815,Bus Routes,45.00%,Hard,94.627,https://leetcode.com/problems/bus-routes
127,Word Ladder,34.20%,Hard,89.2541,https://leetcode.com/problems/word-ladder
269,Alien Dictionary,34.50%,Hard,76.461,https://leetcode.com/problems/alien-dictionary
297,Serialize and Deserialize Binary Tree,52.80%,Hard,73.1701,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
987,Vertical Order Traversal of a Binary Tree,40.60%,Hard,71.259,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
329,Longest Increasing Path in a Matrix,48.80%,Hard,64.3904,https://leetcode.com/problems/longest-increasing-path-in-a-matrix
1293,Shortest Path in a Grid with Obstacles Elimination,43.80%,Hard,62.6978,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination
317,Shortest Distance from All Buildings,43.60%,Hard,62.4445,https://leetcode.com/problems/shortest-distance-from-all-buildings
827,Making A Large Island,44.60%,Hard,60.809,https://leetcode.com/problems/making-a-large-island
126,Word Ladder II,26.30%,Hard,58.3166,https://leetcode.com/problems/word-ladder-ii
773,Sliding Puzzle,62.80%,Hard,58.1064,https://leetcode.com/problems/sliding-puzzle
428,Serialize and Deserialize N-ary Tree,63.80%,Hard,55.0576,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree
301,Remove Invalid Parentheses,46.40%,Hard,52.8256,https://leetcode.com/problems/remove-invalid-parentheses
407,Trapping Rain Water II,46.40%,Hard,49.227,https://leetcode.com/problems/trapping-rain-water-ii
778,Swim in Rising Water,58.20%,Hard,38.7994,https://leetcode.com/problems/swim-in-rising-water
1263,Minimum Moves to Move a Box to Their Target Location,48.00%,Hard,35.9027,https://leetcode.com/problems/minimum-moves-to-move-a-box-to-their-target-location
847,Shortest Path Visiting All Nodes,55.90%,Hard,34.194,https://leetcode.com/problems/shortest-path-visiting-all-nodes
854,K-Similar Strings,39.10%,Hard,32.9811,https://leetcode.com/problems/k-similar-strings
749,Contain Virus,49.70%,Hard,32.8739,https://leetcode.com/problems/contain-virus
1345,Jump Game IV,42.20%,Hard,26.6999,https://leetcode.com/problems/jump-game-iv
839,Similar String Groups,44.60%,Hard,26.2248,https://leetcode.com/problems/similar-string-groups
864,Shortest Path to Get All Keys,43.90%,Hard,26.2202,https://leetcode.com/problems/shortest-path-to-get-all-keys
1036,Escape a Large Maze,34.20%,Hard,26.0686,https://leetcode.com/problems/escape-a-large-maze
1284,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,71.00%,Hard,22.5708,https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix
1568,Minimum Number of Days to Disconnect Island,49.30%,Hard,21.8295,https://leetcode.com/problems/minimum-number-of-days-to-disconnect-island
1368,Minimum Cost to Make at Least One Valid Path in a Grid,60.20%,Hard,21.4174,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid
2092,Find All People With Secret,30.90%,Hard,20.1225,https://leetcode.com/problems/find-all-people-with-secret
