#,Name,Acceptance,Level,Frequency,Link
938,Range Sum of BST,84.90%,Easy,95.3859,https://leetcode.com/problems/range-sum-of-bst
543,Diameter of Binary Tree,53.50%,Easy,82.3205,https://leetcode.com/problems/diameter-of-binary-tree
101,Symmetric Tree,51.10%,Easy,66.1971,https://leetcode.com/problems/symmetric-tree
226,Invert Binary Tree,70.90%,Easy,58.8725,https://leetcode.com/problems/invert-binary-tree
1022,Sum of Root To Leaf Binary Numbers,73.90%,Easy,51.13,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers
703,Kth Largest Element in a Stream,52.60%,Easy,50.8136,https://leetcode.com/problems/kth-largest-element-in-a-stream
235,Lowest Common Ancestor of a Binary Search Tree,56.30%,Easy,45.8708,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree
94,Binary Tree Inorder Traversal,70.10%,Easy,45.0505,https://leetcode.com/problems/binary-tree-inorder-traversal
108,Convert Sorted Array to Binary Search Tree,65.30%,Easy,43.2525,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
100,Same Tree,55.20%,Easy,42.7338,https://leetcode.com/problems/same-tree
617,Merge Two Binary Trees,77.60%,Easy,41.3196,https://leetcode.com/problems/merge-two-binary-trees
404,Sum of Left Leaves,54.60%,Easy,41.0597,https://leetcode.com/problems/sum-of-left-leaves
270,Closest Binary Search Tree Value,53.30%,Easy,40.34,https://leetcode.com/problems/closest-binary-search-tree-value
993,Cousins in Binary Tree,53.70%,Easy,39.9375,https://leetcode.com/problems/cousins-in-binary-tree
671,Second Minimum Node In a Binary Tree,43.50%,Easy,38.5965,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree
112,Path Sum,45.00%,Easy,38.3565,https://leetcode.com/problems/path-sum
572,Subtree of Another Tree,45.20%,Easy,34.9135,https://leetcode.com/problems/subtree-of-another-tree
257,Binary Tree Paths,57.80%,Easy,32.3773,https://leetcode.com/problems/binary-tree-paths
637,Average of Levels in Binary Tree,68.20%,Easy,31.5509,https://leetcode.com/problems/average-of-levels-in-binary-tree
110,Balanced Binary Tree,46.40%,Easy,30.297,https://leetcode.com/problems/balanced-binary-tree
897,Increasing Order Search Tree,76.00%,Easy,28.4158,https://leetcode.com/problems/increasing-order-search-tree
653,Two Sum IV - Input is a BST,58.60%,Easy,25.9567,https://leetcode.com/problems/two-sum-iv-input-is-a-bst
104,Maximum Depth of Binary Tree,71.40%,Easy,24.938,https://leetcode.com/problems/maximum-depth-of-binary-tree
783,Minimum Distance Between BST Nodes,55.80%,Easy,18.6363,https://leetcode.com/problems/minimum-distance-between-bst-nodes
111,Minimum Depth of Binary Tree,42.10%,Easy,18.4058,https://leetcode.com/problems/minimum-depth-of-binary-tree
501,Find Mode in Binary Search Tree,46.70%,Easy,13.9692,https://leetcode.com/problems/find-mode-in-binary-search-tree
145,Binary Tree Postorder Traversal,63.10%,Easy,11.7308,https://leetcode.com/problems/binary-tree-postorder-traversal
700,Search in a Binary Search Tree,75.10%,Easy,11.3556,https://leetcode.com/problems/search-in-a-binary-search-tree
144,Binary Tree Preorder Traversal,61.70%,Easy,10.87,https://leetcode.com/problems/binary-tree-preorder-traversal
563,Binary Tree Tilt,58.20%,Easy,10.8397,https://leetcode.com/problems/binary-tree-tilt
965,Univalued Binary Tree,68.80%,Easy,9.77025,https://leetcode.com/problems/univalued-binary-tree
606,Construct String from Binary Tree,57.40%,Easy,8.43484,https://leetcode.com/problems/construct-string-from-binary-tree
559,Maximum Depth of N-ary Tree,70.80%,Easy,7.993,https://leetcode.com/problems/maximum-depth-of-n-ary-tree
530,Minimum Absolute Difference in BST,56.10%,Easy,6.66425,https://leetcode.com/problems/minimum-absolute-difference-in-bst
589,N-ary Tree Preorder Traversal,75.70%,Easy,5.82258,https://leetcode.com/problems/n-ary-tree-preorder-traversal
872,Leaf-Similar Trees,64.90%,Easy,5.78718,https://leetcode.com/problems/leaf-similar-trees
1469,Find All The Lonely Nodes,81.60%,Easy,4.87011,https://leetcode.com/problems/find-all-the-lonely-nodes
590,N-ary Tree Postorder Traversal,75.80%,Easy,2.83938,https://leetcode.com/problems/n-ary-tree-postorder-traversal
236,Lowest Common Ancestor of a Binary Tree,54.40%,Medium,100,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
314,Binary Tree Vertical Order Traversal,50.60%,Medium,99.2986,https://leetcode.com/problems/binary-tree-vertical-order-traversal
1650,Lowest Common Ancestor of a Binary Tree III,77.50%,Medium,93.6504,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii
366,Find Leaves of Binary Tree,77.50%,Medium,87.3084,https://leetcode.com/problems/find-leaves-of-binary-tree
199,Binary Tree Right Side View,59.10%,Medium,85.7643,https://leetcode.com/problems/binary-tree-right-side-view
863,All Nodes Distance K in Binary Tree,60.60%,Medium,85.3037,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree
426,Convert Binary Search Tree to Sorted Doubly Linked List,64.10%,Medium,82.2551,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
103,Binary Tree Zigzag Level Order Traversal,53.00%,Medium,78.3423,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
427,Construct Quad Tree,64.80%,Medium,74.4295,https://leetcode.com/problems/construct-quad-tree
173,Binary Search Tree Iterator,64.90%,Medium,73.6158,https://leetcode.com/problems/binary-search-tree-iterator
341,Flatten Nested List Iterator,58.20%,Medium,73.1043,https://leetcode.com/problems/flatten-nested-list-iterator
96,Unique Binary Search Trees,57.90%,Medium,72.3795,https://leetcode.com/problems/unique-binary-search-trees
98,Validate Binary Search Tree,30.20%,Medium,70.1905,https://leetcode.com/problems/validate-binary-search-tree
1110,Delete Nodes And Return Forest,69.20%,Medium,66.5349,https://leetcode.com/problems/delete-nodes-and-return-forest
116,Populating Next Right Pointers in Each Node,55.90%,Medium,65.6137,https://leetcode.com/problems/populating-next-right-pointers-in-each-node
99,Recover Binary Search Tree,45.80%,Medium,64.9111,https://leetcode.com/problems/recover-binary-search-tree
545,Boundary of Binary Tree,42.70%,Medium,64.3676,https://leetcode.com/problems/boundary-of-binary-tree
1008,Construct Binary Search Tree from Preorder Traversal,80.00%,Medium,62.5054,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal
652,Find Duplicate Subtrees,55.40%,Medium,61.793,https://leetcode.com/problems/find-duplicate-subtrees
437,Path Sum III,50.00%,Medium,61.6091,https://leetcode.com/problems/path-sum-iii
450,Delete Node in a BST,48.50%,Medium,61.3571,https://leetcode.com/problems/delete-node-in-a-bst
